#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw.: 10 s/amu druck: 1.0 E -5 ausgangsdruck 1.0 E -5 mbar
0,105992	-0,0376526	
0,105992	-0,0376526	
0,135976	-0,0584925	
0,135976	-0,0584925	
0,165464	-0,101703	
0,165464	-0,101703	
0,195438	-0,161564	
0,195438	-0,161564	
0,225239	-0,140601	
0,225239	-0,140601	
0,254023	-0,127607	
0,254023	-0,127607	
0,284711	-0,091431	
0,284711	-0,091431	
0,314203	-0,0829925	
0,314203	-0,0829925	
0,344418	-0,175787	
0,344418	-0,175787	
0,373938	-0,128803	
0,373938	-0,128803	
0,403502	-0,101252	
0,403502	-0,101252	
0,433215	-0,167161	
0,433215	-0,167161	
0,463182	-0,15929	
0,463182	-0,15929	
0,49255	-0,119587	
0,49255	-0,119587	
0,521989	-0,0991465	
0,521989	-0,0991465	
0,551933	-0,0750578	
0,551933	-0,0750578	
0,581725	-0,178589	
0,581725	-0,178589	
0,611004	-0,226102	
0,611004	-0,226102	
0,640906	-0,345232	
0,640906	-0,345232	
0,670646	-0,374862	
0,670646	-0,374862	
0,700378	-0,168861	
0,700378	-0,168861	
0,729573	-0,145343	
0,729573	-0,145343	
0,759306	-0,145726	
0,759306	-0,145726	
0,788797	-0,102685	
0,788797	-0,102685	
0,81822	-0,0695909	
0,81822	-0,0695909	
0,848321	-0,037844	
0,848321	-0,037844	
0,877897	-0,0172764	
0,877897	-0,0172764	
0,907793	0,04915	
0,907793	0,04915	
0,937548	0,0368949	
0,937548	0,0368949	
0,966896	0,0242946	
0,966896	0,0242946	
0,996515	0,0868838	
0,996515	0,0868838	
1,02626	0,0588931	
1,02626	0,0588931	
1,05609	-0,106125	
1,05609	-0,106125	
1,08561	-0,0558842	
1,08561	-0,0558842	
1,11553	-0,0949488	
1,11553	-0,0949488	
1,14466	-0,179597	
1,14466	-0,179597	
1,17448	-0,217815	
1,17448	-0,217815	
1,20411	-0,216682	
1,20411	-0,216682	
1,23385	-0,0923743	
1,23385	-0,0923743	
1,26387	-0,0946569	
1,26387	-0,0946569	
1,29257	-0,187166	
1,29257	-0,187166	
1,3231	-0,148107	
1,3231	-0,148107	
1,35193	-0,00988885	
1,35193	-0,00988885	
1,38205	-0,0930699	
1,38205	-0,0930699	
1,41127	0,0133912	
1,41127	0,0133912	
1,44127	-0,0336632	
1,44127	-0,0336632	
1,47095	0,0262439	
1,47095	0,0262439	
1,50083	-0,0355819	
1,50083	-0,0355819	
1,53032	-0,000127418	
1,53032	-0,000127418	
1,55956	0,0359904	
1,55956	0,0359904	
1,58918	0,0446966	
1,58918	0,0446966	
1,61958	0,00130443	
1,61958	0,00130443	
1,64849	-0,0153254	
1,64849	-0,0153254	
1,67839	0,0183846	
1,67839	0,0183846	
1,70782	-0,0200126	
1,70782	-0,0200126	
1,73785	-0,0302504	
1,73785	-0,0302504	
1,76724	-0,0255874	
1,76724	-0,0255874	
1,79668	-0,0537284	
1,79668	-0,0537284	
1,8269	0,0107124	
1,8269	0,0107124	
1,85653	-0,0168469	
1,85653	-0,0168469	
1,88607	-0,059567	
1,88607	-0,059567	
1,91602	-0,0484787	
1,91602	-0,0484787	
1,9449	-0,0243887	
1,9449	-0,0243887	
1,97456	-0,00663515	
1,97456	-0,00663515	
2,00448	-0,00264938	
2,00448	-0,00264938	
2,0335	-0,0273323	
2,0335	-0,0273323	
2,06384	-0,0316285	
2,06384	-0,0316285	
2,09338	-0,0179993	
2,09338	-0,0179993	
2,12265	0,0125346	
2,12265	0,0125346	
2,15149	0,00994706	
2,15149	0,00994706	
2,18201	0,000491496	
2,18201	0,000491496	
2,21158	0,039909	
2,21158	0,039909	
2,2412	0,00515585	
2,2412	0,00515585	
2,27099	0,0512835	
2,27099	0,0512835	
2,3001	0,0925206	
2,3001	0,0925206	
2,33054	0,0876922	
2,33054	0,0876922	
2,35999	0,166473	
2,35999	0,166473	
2,3893	0,222974	
2,3893	0,222974	
2,41916	0,223061	
2,41916	0,223061	
2,4483	0,229257	
2,4483	0,229257	
2,47798	0,255094	
2,47798	0,255094	
2,50788	0,179183	
2,50788	0,179183	
2,53727	0,0803533	
2,53727	0,0803533	
2,56697	0,0137982	
2,56697	0,0137982	
2,59719	-0,039719	
2,59719	-0,039719	
2,62556	-0,00389014	
2,62556	-0,00389014	
2,65661	-0,0448353	
2,65661	-0,0448353	
2,68573	-0,0192107	
2,68573	-0,0192107	
2,71555	-0,0117466	
2,71555	-0,0117466	
2,74517	-0,0296038	
2,74517	-0,0296038	
2,77493	-0,0377618	
2,77493	-0,0377618	
2,80394	-0,0318518	
2,80394	-0,0318518	
2,83342	0,000993997	
2,83342	0,000993997	
2,86341	-0,0430725	
2,86341	-0,0430725	
2,89313	-0,0162257	
2,89313	-0,0162257	
2,92227	-0,00392047	
2,92227	-0,00392047	
2,9523	-0,00169362	
2,9523	-0,00169362	
2,98221	-0,0389146	
2,98221	-0,0389146	
3,01184	-0,0173752	
3,01184	-0,0173752	
3,04129	0,00139313	
3,04129	0,00139313	
3,07143	-0,0302824	
