#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.1 E-5 mbar
0,117901	0,0118641	
0,117901	0,0118641	
0,147953	0,194257	
0,147953	0,194257	
0,177803	0,0954818	
0,177803	0,0954818	
0,207604	0,0902967	
0,207604	0,0902967	
0,237888	0,1473	
0,237888	0,1473	
0,26794	-0,0985485	
0,26794	-0,0985485	
0,298283	-0,627621	
0,298283	-0,627621	
0,328404	-0,12175	
0,328404	-0,12175	
0,358635	-0,312736	
0,358635	-0,312736	
0,3884	0,0186226	
0,3884	0,0186226	
0,418564	0,0674304	
0,418564	0,0674304	
0,448479	-0,159749	
0,448479	-0,159749	
0,478505	0,022476	
0,478505	0,022476	
0,507801	0,0612602	
0,507801	0,0612602	
0,537983	0,0680585	
0,537983	0,0680585	
0,567977	-0,00659569	
0,567977	-0,00659569	
0,59812	-0,119576	
0,59812	-0,119576	
0,627706	0,0730936	
0,627706	0,0730936	
0,657801	0,00291824	
0,657801	0,00291824	
0,68828	0,00988119	
0,68828	0,00988119	
0,717941	0,12541	
0,717941	0,12541	
0,747592	0,104762	
0,747592	0,104762	
0,777622	0,0620581	
0,777622	0,0620581	
0,807201	0,0680076	
0,807201	0,0680076	
0,837482	-0,00962831	
0,837482	-0,00962831	
0,866983	-0,117193	
0,866983	-0,117193	
0,897136	-0,236402	
0,897136	-0,236402	
0,926882	-0,166359	
0,926882	-0,166359	
0,956667	0,110342	
0,956667	0,110342	
0,986967	0,276822	
0,986967	0,276822	
1,0164	0,228025	
1,0164	0,228025	
1,04686	-0,0326638	
1,04686	-0,0326638	
1,07682	0,11395	
1,07682	0,11395	
1,10623	0,0338131	
1,10623	0,0338131	
1,13604	-0,0728221	
1,13604	-0,0728221	
1,16644	-0,236075	
1,16644	-0,236075	
1,19568	-0,199746	
1,19568	-0,199746	
1,2255	-0,18257	
1,2255	-0,18257	
1,25574	-0,17679	
1,25574	-0,17679	
1,28575	-0,090392	
1,28575	-0,090392	
1,3157	0,171752	
1,3157	0,171752	
1,34492	0,0244492	
1,34492	0,0244492	
1,37471	0,0742704	
