Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.2 E -5mbar
0,102754	0,140142	
0,102754	0,140142	
0,132634	0,138699	
0,132634	0,138699	
0,162686	0,0994552	
0,162686	0,0994552	
0,192595	0,02222	
0,192595	0,02222	
0,222455	0,0413871	
0,222455	0,0413871	
0,252278	-0,0198531	
0,252278	-0,0198531	
0,281695	-0,0307425	
0,281695	-0,0307425	
0,3119	-0,034317	
0,3119	-0,034317	
0,342243	0,0307257	
0,342243	0,0307257	
0,371741	0,0981286	
0,371741	0,0981286	
0,401597	0,075954	
0,401597	0,075954	
0,431914	0,080878	
0,431914	0,080878	
0,461255	0,0173157	
0,461255	0,0173157	
0,491134	0,0706016	
0,491134	0,0706016	
0,520926	0,0731898	
0,520926	0,0731898	
0,550189	0,102889	
0,550189	0,102889	
0,580727	0,118608	
0,580727	0,118608	
0,610238	0,0423667	
0,610238	0,0423667	
0,639964	0,0782872	
0,639964	0,0782872	
0,669873	0,140667	
0,669873	0,140667	
0,699808	0,184659	
0,699808	0,184659	
0,729178	0,164071	
0,729178	0,164071	
0,759038	0,194789	
0,759038	0,194789	
0,788624	0,183681	
0,788624	0,183681	
0,818719	0,179283	
0,818719	0,179283	
0,848438	0,123226	
0,848438	0,123226	
0,878168	0,145268	
0,878168	0,145268	
0,908067	0,190468	
0,908067	0,190468	
0,937183	0,219834	
0,937183	0,219834	
0,96778	0,210084	
0,96778	0,210084	
0,997154	0,172986	
0,997154	0,172986	
1,02723	0,0172769	
1,02723	0,0172769	
1,05636	0,00721933	
1,05636	0,00721933	
1,08661	0,011464	
1,08661	0,011464	
1,11619	-0,0534453	
1,11619	-0,0534453	
1,14627	-0,0814758	
1,14627	-0,0814758	
1,17581	-0,194704	
1,17581	-0,194704	
1,20577	-0,199808	
1,20577	-0,199808	
1,23489	-0,286467	
1,23489	-0,286467	
1,26497	-0,225346	
1,26497	-0,225346	
1,29473	-0,301412	
1,29473	-0,301412	
1,32456	-0,115622	
1,32456	-0,115622	
1,35416	-0,00573026	
1,35416	-0,00573026	
1,38406	-0,0829814	
1,38406	-0,0829814	
1,41374	-0,0139871	
1,41374	-0,0139871	
1,4432	-0,0424549	
1,4432	-0,0424549	
1,47322	-0,073756	
1,47322	-0,073756	
1,50267	-0,0826406	
1,50267	-0,0826406	
1,53291	-0,0693369	
1,53291	-0,0693369	
1,56206	-0,0439565	
1,56206	-0,0439565	
1,59193	-0,0198097	
1,59193	-0,0198097	
1,62159	-0,0153088	
1,62159	-0,0153088	
1,65093	-0,0288417	
1,65093	-0,0288417	
1,68085	-0,0289412	
1,68085	-0,0289412	
1,71113	-0,033465	
1,71113	-0,033465	
1,74082	-0,00377047	
1,74082	-0,00377047	
1,77068	-0,050985	
1,77068	-0,050985	
1,80019	-0,0388784	
1,80019	-0,0388784	
1,8298	-0,0102169	
1,8298	-0,0102169	
1,85962	-0,0626068	
1,85962	-0,0626068	
1,88885	-0,033751	
1,88885	-0,033751	
1,91916	-0,0311791	
1,91916	-0,0311791	
1,94844	-0,0255326	
1,94844	-0,0255326	
1,97827	-0,0448399	
1,97827	-0,0448399	
2,00835	-0,0260703	
2,00835	-0,0260703	
2,03787	0,00375726	
2,03787	0,00375726	
2,06772	0,00203063	
2,06772	0,00203063	
2,09778	-0,0338485	
2,09778	-0,0338485	
2,12718	-0,00684971	
2,12718	-0,00684971	
2,15655	-0,0193862	
2,15655	-0,0193862	
2,1865	-0,0117655	
2,1865	-0,0117655	
2,21616	0,00235443	
2,21616	0,00235443	
2,24599	0,0122104	
2,24599	0,0122104	
2,27574	0,0168569	
2,27574	0,0168569	
2,30531	0,00505085	
2,30531	0,00505085	
2,33476	0,0620568	
2,33476	0,0620568	
2,36495	0,0577049	
2,36495	0,0577049	
2,39442	0,0641099	
2,39442	0,0641099	
2,42388	0,0654958	
2,42388	0,0654958	
2,45336	0,0631182	
2,45336	0,0631182	
2,48307	0,0728647	
2,48307	0,0728647	
2,51321	0,0554532	
2,51321	0,0554532	
2,54293	0,0188303	
2,54293	0,0188303	
2,57282	-0,0148082	
2,57282	-0,0148082	
2,60223	-0,0202718	
2,60223	-0,0202718	
2,63181	-0,0157222	
2,63181	-0,0157222	
2,66229	-0,0142731	
2,66229	-0,0142731	
2,69169	-0,0252202	
2,69169	-0,0252202	
2,72132	-0,00787135	
2,72132	-0,00787135	
2,75085	-0,029487	
2,75085	-0,029487	
2,78056	-0,00883396	
2,78056	-0,00883396	
2,80962	-0,0200781	
2,80962	-0,0200781	
2,84	-0,0283523	
2,84	-0,0283523	
2,86924	-0,00722243	
2,86924	-0,00722243	
2,89978	-0,0118098	
2,89978	-0,0118098	
2,92886	-0,00914015	
2,92886	-0,00914015	
2,95898	-0,00154296	
2,95898	-0,00154296	
2,98889	-0,022334	
2,98889	-0,022334	
3,01864	-0,0176227	
3,01864	-0,0176227	
3,04804	-0,0251289	
3,04804	-0,0251289	
3,07771	-0,0181936	
3,07771	-0,0181936	
3,10749	-0,0219319	
3,10749	-0,0219319	
3,1374	-0,027387	
3,1374	-0,027387	
3,16708	-0,0160376	
3,16708	-0,0160376	
3,19653	-0,0120586	
3,19653	-0,0120586	
3,22642	-0,0189903	
3,22642	-0,0189903	
3,25612	-0,0274317	
3,25612	-0,0274317	
3,28578	-0,0384342	
3,28578	-0,0384342	
3,3156	0,00344683	
3,3156	0,00344683	
3,34527	-0,0449667	
3,34527	-0,0449667	
3,37529	0,000607583	
3,37529	0,000607583	
