Richtige Messung								
	z/cm	I_max	delta_I_max	I_min	delta_I_min	Kohärenzgrad	delta_Kohärenzgrad
								
	0	3,3	0,1	0,32	0,08	0,82320442	0,040321625
	2	2,89	0,05	0,53	0,06	0,69005848	0,029673393
	6	3,48	0,09	0,32	0,09	0,831578947	0,043404363
	10	3,3	0,08	0,24	0,13	0,86440678	0,068498704
	13	4,77	0,05	0,82	0,07	0,706618962	0,021376778
	15	4,39	0,09	1,06	0,07	0,611009174	0,020707
	17	4,59	0,03	1,13	0,09	0,604895105	0,025257546
	19	4,16	0,04	1,4	0,05	0,496402878	0,01346272
	21	3,97	0,04	1,68	0,05	0,405309735	0,012442964
	23	4,14	0,02	1,88	0,04	0,375415282	0,009141262
	25	3,92	0,03	1,91	0,02	0,344768439	0,004615255
								
Falsche Messung								
	-14	3,13	0,04	1,11	0,04	0,48	0,02
	-10	3,19	0,04	1,05	0,04	0,50	0,02
	-6	3,73	0,06	0,61	0,07	0,72	0,03
	-2	4,01	0,12	0,28	0,04	0,87	0,02
	0	4,06	0,04	0,3	0,04	0,86	0,02
	2	4,24	0,06	0,17	0,07	0,92	0,04
	4	4,05	0,05	0,19	0,07	0,91	0,04
	6,2	4,03	0,1	0,3	0,07	0,86	0,04
	8	4,15	0,12	0,18	0,09	0,92	0,04
	8,8	4,19	0,07	0,33	0,09	0,85	0,04
	18	2,79	0,03	1,41	0,03	0,33	0,01
